group,run_id,adversarial_method,feature_selection,model,train_regime,accuracy__clean,accuracy__fgsm,accuracy__pgd,accuracy__transfer_pgd,auc__clean,auc__fgsm,auc__pgd,auc__transfer_pgd,f1__clean,f1__fgsm,f1__pgd,f1__transfer_pgd
a,a_no_fs_no_aug,none,,RidgeClassifier,baseline,0.9540792321445376,0.1277877105486026,0.0951350334054766,0.1036981274113108,0.9471070127756224,0.0719252771200851,0.0400532525826025,0.0871182046459759,0.9746493506493504,0.2017052794763586,0.1553056921995783,0.1295805537786713
a,a_no_fs_no_aug,none,,SGDClassifier,baseline,0.9594429283899502,0.0681283523101533,0.0687870518490637,0.0804554436811894,0.9580020322656368,0.0254577659195509,0.0288796219132298,0.0371763071606629,0.9775438962121606,0.1275658532287904,0.1287198450431414,0.1489287580560878
b,b_fs_forward_only,none,forward,RidgeClassifier,baseline,0.9210501552648912,0.9188858567799002,0.9188858567799002,0.9188858567799002,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.9575769833645144,0.9564646464646464,0.9564646464646464,0.9564646464646464
b,b_fs_forward_only,none,forward,SGDClassifier,baseline,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.9391173426178602,0.7308243005856215,0.4458283197000812,0.4458283197000812,0.4458283197000812,0.966964513658412,0.966964513658412,0.966964513658412,0.966964513658412
c,c_fgsm_only,fgsm,,RidgeClassifier,adv_train,0.947115837018914,0.9767573162698786,0.9667827232520936,0.8901853768702362,0.92943284978106,0.9912893651148892,0.9970346833070955,0.5315780920232206,0.970901936419178,0.9871119227758935,0.9816975164618656,0.940205974278834
c,c_fgsm_only,fgsm,,RidgeClassifier,baseline,0.9540792321445376,0.2868165992283805,0.1443492989554907,0.4872494589253787,0.9471070127756224,0.0512525100085708,0.0514403787579905,0.3474443739784636,0.9746493506493504,0.4430891321919317,0.2385059877732183,0.6416310424202565
c,c_fgsm_only,fgsm,,SGDClassifier,adv_train,0.9538910322762774,0.9978357015150088,0.9933189046767668,0.4992001505598946,0.9467069252980956,0.9997936179709044,0.9998774293207668,0.2427926343047242,0.9745348716349652,0.9987867278577832,0.9962629612084848,0.6599795553283925
c,c_fgsm_only,fgsm,,SGDClassifier,baseline,0.9594429283899502,0.067375552837113,0.065305354286252,0.1011574291897995,0.9580020322656368,0.0184201660869183,0.0252698971701312,0.0408103818824485,0.9775438962121606,0.1262452613946927,0.1226040102464446,0.1835897435897436
d,d_owc_only,owc-sawn,,RidgeClassifier,adv_train,0.951162134186506,0.1421850004704996,0.1211066152253693,0.434741695680813,0.9464913322283732,0.0325751643714759,0.0268806437003504,0.2022252050186127,0.9730934729638654,0.2426055167829844,0.2104818258664412,0.5970349500234788
d,d_owc_only,owc-sawn,,RidgeClassifier,baseline,0.9540792321445376,0.1438787992848405,0.1097205231956337,0.1466076973746118,0.9471070127756224,0.0641030972625699,0.0183643526526246,0.0659078228364861,0.9746493506493504,0.2335299073294018,0.1928163126013138,0.2396243816550683
d,d_owc_only,owc-sawn,,SGDClassifier,adv_train,0.9603839277312506,0.1026630281358803,0.0933471346570057,0.1436905994165804,0.9595301530254804,0.0603706194433941,0.058713088122664,0.0784368444543425,0.9782237624786636,0.1790633608815426,0.1677463937116697,0.2468134414831981
d,d_owc_only,owc-sawn,,SGDClassifier,baseline,0.9594429283899502,0.0649289545497318,0.0628587559988708,0.0690693516514538,0.9580020322656368,0.0236963595961077,0.0277257794774731,0.029396169775712,0.9775438962121606,0.1217852408307556,0.1175011076650421,0.1290606567479531
e,e_fgsm_owc,both,,RidgeClassifier,adv_train,0.9480568363602144,0.9751576173896678,0.9639597252281924,0.3676484426460901,0.9359694966813806,0.9928411062660428,0.9874044035340483,0.2636720570406002,0.971410814170292,0.9862025713389776,0.9800904506939752,0.5110593713620489
e,e_fgsm_owc,both,,RidgeClassifier,baseline,0.9540792321445376,0.3631316458078479,0.2052319563376305,0.2514350239954832,0.9471070127756224,0.1298452125661941,0.0886662978602479,0.0897365113429861,0.9746493506493504,0.5279676384432974,0.3265826821878488,0.3975766755017039
